,matricula_funcionario,Nome Funcionario,Cargo,codigo_loja,nome_loja,codigo_produto,descricao_produto,Categoria,preco_custo,valor_unitario,quantidade,comissao,dt_venda,dt_entrega
37,123456111,José Maria,Vendedor,CL001,Loja Matriz,10009,Ferro de passar,Casa,"27,9","55,9",1,,10/05/2020 12:21,10/05/2020 13:02
38,123456111,José Maria,Vendedor,CL001,Loja Matriz,10001,Smartphone,Eletrônicos,"899,9","1676,9",1,,24/06/2020 12:43,25/06/2020 10:23
39,123456111,José Maria,Vendedor,CL001,Loja Matriz,10002,Tablet,Eletrônicos,799,"1424,91",1,,26/10/2020 13:01,26/10/2020 16:34
40,123456111,José Maria,Vendedor,CL001,Loja Matriz,10004,Máquina Lavar Roupa,Eletrodomésticos,1099,"1709,1",1,"0,05",12/03/2019 15:56,15/03/2019 12:21
41,123456111,José Maria,Vendedor,CL001,Loja Matriz,10019,Sofá,Casa,"789,9",1399,1,,12/03/2020 11:34,16/03/2020 17:30
42,123456111,José Maria,Vendedor,CL001,Loja Matriz,10002,Tablet,Eletrônicos,799,"1424,91",1,,14/08/2020 09:26,14/08/2020 13:58
43,123456111,José Maria,Vendedor,CL001,Loja Matriz,10010,Fritadeira elétrica,Cozinha,"187,9",340,1,,16/06/2020 11:54,16/06/2020 12:22
44,123456111,José Maria,Vendedor,CL001,Loja Matriz,10004,Máquina Lavar Roupa,Eletrodomésticos,1099,"1709,1",1,"0,05",05/09/2019 10:36,10/09/2019 12:46
45,123456111,José Maria,Vendedor,CL001,Loja Matriz,10017,Cama Box,Casa,"1189,9","1899,5",1,,30/06/2020 11:23,05/07/2020 11:04
46,123456111,José Maria,Vendedor,CL001,Loja Matriz,10004,Máquina Lavar Roupa,Eletrodomésticos,1099,"1709,1",1,"0,05",15/03/2020 17:41,17/03/2020 15:26
47,123456111,José Maria,Vendedor,CL001,Loja Matriz,10008,Cafeteira,Cozinha,"159,9","284,9",1,,30/11/2019 13:20,30/11/2019 17:20
48,123456111,José Maria,Vendedor,CL001,Loja Matriz,10006,Aspirador de pó,Casa,"88,9","189,9",1,,21/06/2020 10:34,21/06/2020 16:39
49,123456111,José Maria,Vendedor,CL001,Loja Matriz,10016,Guarda Roupa,Casa,"489,9",999,1,,23/02/2020 11:31,25/02/2020 11:39
50,123456111,José Maria,Vendedor,CL001,Loja Matriz,10004,Máquina Lavar Roupa,Eletrodomésticos,1099,"1709,1",1,"0,05",12/09/2019 16:40,19/09/2019 17:05
51,123456111,José Maria,Vendedor,CL001,Loja Matriz,10020,Impressora,Eletrônicos,"329,9","674,1",1,,10/10/2019 09:16,10/10/2019 17:42
52,123456111,José Maria,Vendedor,CL001,Loja Matriz,10005,Notebook,Eletrônicos,"2299,9",3199,1,,30/11/2020 16:00,01/12/2020 09:28
53,123456111,José Maria,Vendedor,CL001,Loja Matriz,10016,Guarda Roupa,Casa,"489,9",999,1,,16/01/2020 11:42,18/01/2020 17:35
54,123456111,José Maria,Vendedor,CL001,Loja Matriz,10007,Batedeira,Cozinha,"49,9","95,9",1,,18/04/2019 11:54,18/04/2019 13:00
55,123456111,José Maria,Vendedor,CL001,Loja Matriz,10008,Cafeteira,Cozinha,"159,9","284,9",1,,06/03/2020 10:21,06/03/2020 17:31
56,123456111,José Maria,Vendedor,CL001,Loja Matriz,10019,Sofá,Casa,"789,9",1399,1,,06/07/2020 14:01,13/07/2020 16:56
57,123456111,José Maria,Vendedor,CL001,Loja Matriz,10019,Sofá,Casa,"789,9",1399,1,,29/09/2019 13:06,05/10/2019 09:34
58,123456111,José Maria,Vendedor,CL001,Loja Matriz,10001,Smartphone,Eletrônicos,"899,9","1676,9",1,,10/12/2020 10:44,10/12/2020 14:27
59,123456111,José Maria,Vendedor,CL001,Loja Matriz,10008,Cafeteira,Cozinha,"159,9","284,9",1,,07/06/2020 13:14,07/06/2020 13:58
60,123456111,José Maria,Vendedor,CL001,Loja Matriz,10015,Microondas,Eletrodomésticos,189,"364,5",1,,16/06/2020 09:42,16/06/2020 16:25
61,123456111,José Maria,Vendedor,CL001,Loja Matriz,10015,Microondas,Eletrodomésticos,189,"364,5",1,,18/10/2020 10:01,18/10/2020 12:19
62,123456111,José Maria,Vendedor,CL001,Loja Matriz,10017,Cama Box,Casa,"1189,9","1899,5",1,,14/10/2019 17:53,19/10/2019 09:01
63,123456111,José Maria,Vendedor,CL001,Loja Matriz,10014,Geladeira,Eletrodomésticos,"699,9","1346,9",1,,15/07/2020 11:51,21/07/2020 16:55
64,123456111,José Maria,Vendedor,CL001,Loja Matriz,10016,Guarda Roupa,Casa,"489,9",999,1,,14/02/2020 17:11,19/02/2020 16:33
65,123456111,José Maria,Vendedor,CL001,Loja Matriz,10002,Tablet,Eletrônicos,799,"1424,91",1,,06/02/2020 16:41,06/02/2020 17:28
66,123456111,José Maria,Vendedor,CL001,Loja Matriz,10015,Microondas,Eletrodomésticos,189,"364,5",1,,08/01/2020 10:14,08/01/2020 14:26
67,123456111,José Maria,Vendedor,CL001,Loja Matriz,10001,Smartphone,Eletrônicos,"899,9","1676,9",1,,10/02/2020 14:22,10/02/2020 16:40
68,123456111,José Maria,Vendedor,CL001,Loja Matriz,10001,Smartphone,Eletrônicos,"899,9","1676,9",1,,24/04/2020 13:12,24/04/2020 14:33
69,123456111,José Maria,Vendedor,CL001,Loja Matriz,10014,Geladeira,Eletrodomésticos,"699,9","1346,9",1,,11/01/2020 09:18,14/01/2020 17:29
70,123456111,José Maria,Vendedor,CL001,Loja Matriz,10019,Sofá,Casa,"789,9",1399,1,,23/02/2019 17:35,27/02/2019 11:32
71,123456111,José Maria,Vendedor,CL001,Loja Matriz,10014,Geladeira,Eletrodomésticos,"699,9","1346,9",1,,02/05/2019 13:17,05/05/2019 15:30
72,123456111,José Maria,Vendedor,CL001,Loja Matriz,10013,Fogão,Eletrodomésticos,"210,9","404,1",1,,05/11/2019 10:19,12/11/2019 15:30
73,123456111,José Maria,Vendedor,CL001,Loja Matriz,10011,Liquidificador,Cozinha,"59,9","142,4",1,,21/02/2019 12:29,21/02/2019 17:46
74,123456111,José Maria,Vendedor,CL001,Loja Matriz,10012,Processador de alimentos,Cozinha,110,"189,9",1,,04/05/2020 14:58,05/05/2020 14:00
75,123456111,José Maria,Vendedor,CL001,Loja Matriz,10002,Tablet,Eletrônicos,799,"1424,91",1,,07/08/2019 17:19,07/08/2019 17:22
76,123456111,José Maria,Vendedor,CL001,Loja Matriz,10013,Fogão,Eletrodomésticos,"210,9","404,1",1,,06/05/2020 15:04,11/05/2020 16:00
77,123456111,José Maria,Vendedor,CL001,Loja Matriz,10002,Tablet,Eletrônicos,799,"1424,91",1,,30/09/2020 16:26,30/09/2020 17:01
78,123456111,José Maria,Vendedor,CL001,Loja Matriz,10012,Processador de alimentos,Cozinha,110,"189,9",1,,15/12/2019 13:32,16/12/2019 11:32
79,123456111,José Maria,Vendedor,CL001,Loja Matriz,10020,Impressora,Eletrônicos,"329,9","674,1",3,,04/05/2020 17:37,05/05/2020 13:27
80,123456111,José Maria,Vendedor,CL001,Loja Matriz,10008,Cafeteira,Cozinha,"159,9","284,9",3,,08/10/2019 11:48,09/10/2019 11:32
81,123456111,José Maria,Vendedor,CL001,Loja Matriz,10016,Guarda Roupa,Casa,"489,9",999,3,,12/05/2019 11:35,14/05/2019 09:40
82,123456111,José Maria,Vendedor,CL001,Loja Matriz,10007,Batedeira,Cozinha,"49,9","95,9",3,,02/12/2019 17:51,03/12/2019 17:22
83,123456111,José Maria,Vendedor,CL001,Loja Matriz,10017,Cama Box,Casa,"1189,9","1899,5",3,,21/05/2020 12:50,27/05/2020 10:19
84,123456111,José Maria,Vendedor,CL001,Loja Matriz,10009,Ferro de passar,Casa,"27,9","55,9",3,,09/10/2019 13:16,09/10/2019 16:32
85,123456111,José Maria,Vendedor,CL001,Loja Matriz,10014,Geladeira,Eletrodomésticos,"699,9","1346,9",3,,27/08/2020 12:48,29/08/2020 09:56
86,123456111,José Maria,Vendedor,CL001,Loja Matriz,10014,Geladeira,Eletrodomésticos,"699,9","1346,9",3,,25/05/2019 15:22,28/05/2019 14:18
87,123456111,José Maria,Vendedor,CL001,Loja Matriz,10017,Cama Box,Casa,"1189,9","1899,5",3,,03/11/2020 13:47,07/11/2020 11:03
88,123456111,José Maria,Vendedor,CL001,Loja Matriz,10020,Impressora,Eletrônicos,"329,9","674,1",3,,13/12/2019 17:48,14/12/2019 09:34
89,123456111,José Maria,Vendedor,CL001,Loja Matriz,10008,Cafeteira,Cozinha,"159,9","284,9",3,,18/12/2019 17:20,19/12/2019 15:55
90,123456111,José Maria,Vendedor,CL001,Loja Matriz,10013,Fogão,Eletrodomésticos,"210,9","404,1",3,,15/10/2020 13:29,20/10/2020 10:55
91,123456111,José Maria,Vendedor,CL001,Loja Matriz,10010,Fritadeira elétrica,Cozinha,"187,9",340,3,,17/06/2020 15:12,17/06/2020 15:20
92,123456111,José Maria,Vendedor,CL001,Loja Matriz,10015,Microondas,Eletrodomésticos,189,"364,5",3,,01/06/2019 16:10,02/06/2019 09:31
93,123456111,José Maria,Vendedor,CL001,Loja Matriz,10009,Ferro de passar,Casa,"27,9","55,9",3,,02/06/2020 09:16,02/06/2020 11:03
94,123456111,José Maria,Vendedor,CL001,Loja Matriz,10018,Colchão,Casa,"109,9","249,9",3,,18/01/2019 14:52,19/01/2019 12:19
95,123456111,José Maria,Vendedor,CL001,Loja Matriz,10017,Cama Box,Casa,"1189,9","1899,5",3,,05/03/2020 12:58,11/03/2020 10:27
96,123456111,José Maria,Vendedor,CL001,Loja Matriz,10005,Notebook,Eletrônicos,"2299,9",3199,3,,07/08/2020 13:11,07/08/2020 14:53
97,123456111,José Maria,Vendedor,CL001,Loja Matriz,10020,Impressora,Eletrônicos,"329,9","674,1",3,,29/09/2019 09:05,29/09/2019 12:15
98,123456111,José Maria,Vendedor,CL001,Loja Matriz,10012,Processador de alimentos,Cozinha,110,"189,9",3,,30/09/2019 16:49,01/10/2019 14:55
99,123456111,José Maria,Vendedor,CL001,Loja Matriz,10018,Colchão,Casa,"109,9","249,9",3,,08/11/2020 14:32,09/11/2020 09:48
100,123456111,José Maria,Vendedor,CL001,Loja Matriz,10009,Ferro de passar,Casa,"27,9","55,9",3,,09/11/2019 14:08,10/11/2019 10:13
101,123456111,José Maria,Vendedor,CL001,Loja Matriz,10006,Aspirador de pó,Casa,"88,9","189,9",3,,16/07/2019 16:12,17/07/2019 14:39
102,123456111,José Maria,Vendedor,CL001,Loja Matriz,10017,Cama Box,Casa,"1189,9","1899,5",3,,29/06/2019 16:02,04/07/2019 09:15
103,123456111,José Maria,Vendedor,CL001,Loja Matriz,10005,Notebook,Eletrônicos,"2299,9",3199,3,,30/12/2020 09:05,30/12/2020 14:55
104,123456111,José Maria,Vendedor,CL001,Loja Matriz,10003,Televisão,Eletrodomésticos,"1400,9","2279,99",3,,20/01/2020 14:24,26/01/2020 12:20
105,123456111,José Maria,Vendedor,CL001,Loja Matriz,10005,Notebook,Eletrônicos,"2299,9",3199,3,,01/09/2020 11:33,01/09/2020 13:18
106,123456111,José Maria,Vendedor,CL001,Loja Matriz,10009,Ferro de passar,Casa,"27,9","55,9",3,,16/07/2019 15:57,17/07/2019 15:26
107,123456111,José Maria,Vendedor,CL001,Loja Matriz,10008,Cafeteira,Cozinha,"159,9","284,9",3,,29/03/2019 12:20,29/03/2019 14:20
108,123456111,José Maria,Vendedor,CL001,Loja Matriz,10020,Impressora,Eletrônicos,"329,9","674,1",3,,20/08/2019 12:56,21/08/2019 10:12
109,123456111,José Maria,Vendedor,CL001,Loja Matriz,10017,Cama Box,Casa,"1189,9","1899,5",3,,21/09/2019 15:49,23/09/2019 10:31
110,123456111,José Maria,Vendedor,CL001,Loja Matriz,10008,Cafeteira,Cozinha,"159,9","284,9",3,,06/11/2019 13:34,07/11/2019 09:12
111,123456111,José Maria,Vendedor,CL001,Loja Matriz,10002,Tablet,Eletrônicos,799,"1424,91",3,,12/06/2019 13:48,12/06/2019 16:54
112,123456111,José Maria,Vendedor,CL001,Loja Matriz,10012,Processador de alimentos,Cozinha,110,"189,9",3,,08/12/2020 11:42,09/12/2020 11:27
113,123456111,José Maria,Vendedor,CL001,Loja Matriz,10007,Batedeira,Cozinha,"49,9","95,9",3,,30/05/2020 13:02,31/05/2020 10:41
114,123456111,José Maria,Vendedor,CL001,Loja Matriz,10005,Notebook,Eletrônicos,"2299,9",3199,3,,07/11/2020 16:48,08/11/2020 12:03
115,123456111,José Maria,Vendedor,CL001,Loja Matriz,10005,Notebook,Eletrônicos,"2299,9",3199,3,,06/02/2019 10:06,07/02/2019 09:23
116,123456111,José Maria,Vendedor,CL001,Loja Matriz,10020,Impressora,Eletrônicos,"329,9","674,1",3,,03/04/2019 16:51,04/04/2019 12:03
117,123456111,José Maria,Vendedor,CL001,Loja Matriz,10020,Impressora,Eletrônicos,"329,9","674,1",3,,20/04/2020 17:07,21/04/2020 09:43
118,123456111,José Maria,Vendedor,CL001,Loja Matriz,10006,Aspirador de pó,Casa,"88,9","189,9",3,,31/08/2019 13:47,31/08/2019 13:56
119,123456111,José Maria,Vendedor,CL001,Loja Matriz,10005,Notebook,Eletrônicos,"2299,9",3199,3,,26/03/2020 11:01,26/03/2020 11:04
120,123456111,José Maria,Vendedor,CL001,Loja Matriz,10004,Máquina Lavar Roupa,Eletrodomésticos,1099,"1709,1",3,"0,09",31/10/2019 15:12,05/11/2019 15:44
121,123456111,José Maria,Vendedor,CL001,Loja Matriz,10018,Colchão,Casa,"109,9","249,9",3,,17/11/2020 13:30,18/11/2020 10:10
122,123456111,José Maria,Vendedor,CL001,Loja Matriz,10012,Processador de alimentos,Cozinha,110,"189,9",3,,19/03/2019 09:12,19/03/2019 12:46
123,123456111,José Maria,Vendedor,CL001,Loja Matriz,10002,Tablet,Eletrônicos,799,"1424,91",3,,30/12/2019 10:39,30/12/2019 13:34
124,123456111,José Maria,Vendedor,CL001,Loja Matriz,10001,Smartphone,Eletrônicos,"899,9","1676,9",3,,06/04/2020 11:11,06/04/2020 14:58
125,123456111,José Maria,Vendedor,CL001,Loja Matriz,10003,Televisão,Eletrodomésticos,"1400,9","2279,99",3,,03/01/2020 11:28,10/01/2020 11:00
126,123456111,José Maria,Vendedor,CL001,Loja Matriz,10004,Máquina Lavar Roupa,Eletrodomésticos,1099,"1709,1",3,"0,09",04/05/2020 16:16,08/05/2020 15:06
127,123456111,José Maria,Vendedor,CL001,Loja Matriz,10011,Liquidificador,Cozinha,"59,9","142,4",3,,05/09/2020 17:33,06/09/2020 13:22
128,123456111,José Maria,Vendedor,CL001,Loja Matriz,10020,Impressora,Eletrônicos,"329,9","674,1",3,,28/02/2020 13:46,29/02/2020 12:22
129,123456111,José Maria,Vendedor,CL001,Loja Matriz,10005,Notebook,Eletrônicos,"2299,9",3199,3,,03/06/2019 16:50,03/06/2019 17:05
130,123456111,José Maria,Vendedor,CL001,Loja Matriz,10002,Tablet,Eletrônicos,799,"1424,91",3,,14/08/2019 13:01,14/08/2019 16:04
131,123456111,José Maria,Vendedor,CL001,Loja Matriz,10010,Fritadeira elétrica,Cozinha,"187,9",340,3,,18/02/2020 11:01,18/02/2020 15:21
132,123456111,José Maria,Vendedor,CL001,Loja Matriz,10011,Liquidificador,Cozinha,"59,9","142,4",3,,09/10/2019 16:06,10/10/2019 11:01
133,123456111,José Maria,Vendedor,CL001,Loja Matriz,10017,Cama Box,Casa,"1189,9","1899,5",3,,09/06/2020 15:47,11/06/2020 10:21
134,123456111,José Maria,Vendedor,CL001,Loja Matriz,10001,Smartphone,Eletrônicos,"899,9","1676,9",3,,22/05/2020 10:18,22/05/2020 16:54
135,123456111,José Maria,Vendedor,CL001,Loja Matriz,10008,Cafeteira,Cozinha,"159,9","284,9",3,,19/04/2019 16:43,19/04/2019 16:47
136,123456111,José Maria,Vendedor,CL001,Loja Matriz,10018,Colchão,Casa,"109,9","249,9",3,,16/08/2019 13:52,17/08/2019 11:41
137,123456111,José Maria,Vendedor,CL001,Loja Matriz,10006,Aspirador de pó,Casa,"88,9","189,9",3,,06/02/2020 16:32,07/02/2020 11:48
138,123456111,José Maria,Vendedor,CL001,Loja Matriz,10010,Fritadeira elétrica,Cozinha,"187,9",340,3,,29/06/2020 11:46,29/06/2020 12:38
139,123456111,José Maria,Vendedor,CL001,Loja Matriz,10011,Liquidificador,Cozinha,"59,9","142,4",3,,28/08/2019 17:24,29/08/2019 15:34
140,123456111,José Maria,Vendedor,CL001,Loja Matriz,10005,Notebook,Eletrônicos,"2299,9",3199,3,,05/02/2020 13:11,06/02/2020 10:47
141,123456111,José Maria,Vendedor,CL001,Loja Matriz,10008,Cafeteira,Cozinha,"159,9","284,9",3,,28/04/2020 10:19,28/04/2020 15:40
142,123456111,José Maria,Vendedor,CL001,Loja Matriz,10002,Tablet,Eletrônicos,799,"1424,91",3,,15/09/2019 10:14,15/09/2019 13:48
143,123456111,José Maria,Vendedor,CL001,Loja Matriz,10018,Colchão,Casa,"109,9","249,9",3,,21/03/2019 16:30,22/03/2019 15:22
144,123456111,José Maria,Vendedor,CL001,Loja Matriz,10009,Ferro de passar,Casa,"27,9","55,9",3,,05/12/2020 10:44,06/12/2020 09:41
145,123456111,José Maria,Vendedor,CL001,Loja Matriz,10019,Sofá,Casa,"789,9",1399,3,,18/04/2019 14:06,25/04/2019 16:05
146,123456111,José Maria,Vendedor,CL001,Loja Matriz,10005,Notebook,Eletrônicos,"2299,9",3199,3,,22/01/2019 13:29,22/01/2019 17:13
147,123456111,José Maria,Vendedor,CL001,Loja Matriz,10017,Cama Box,Casa,"1189,9","1899,5",2,,04/08/2019 09:30,07/08/2019 17:53
148,123456111,José Maria,Vendedor,CL001,Loja Matriz,10002,Tablet,Eletrônicos,799,"1424,91",2,,09/03/2020 15:04,10/03/2020 10:45
149,123456111,José Maria,Vendedor,CL001,Loja Matriz,10010,Fritadeira elétrica,Cozinha,"187,9",340,2,,11/04/2019 14:29,12/04/2019 12:19
150,123456111,José Maria,Vendedor,CL001,Loja Matriz,10009,Ferro de passar,Casa,"27,9","55,9",2,,18/05/2019 14:03,19/05/2019 13:34
151,123456111,José Maria,Vendedor,CL001,Loja Matriz,10001,Smartphone,Eletrônicos,"899,9","1676,9",2,,23/05/2019 11:27,23/05/2019 12:42
152,123456111,José Maria,Vendedor,CL001,Loja Matriz,10007,Batedeira,Cozinha,"49,9","95,9",2,,19/08/2019 17:08,20/08/2019 15:38
153,123456111,José Maria,Vendedor,CL001,Loja Matriz,10004,Máquina Lavar Roupa,Eletrodomésticos,1099,"1709,1",2,"0,07",17/11/2020 09:23,21/11/2020 17:28
154,123456111,José Maria,Vendedor,CL001,Loja Matriz,10004,Máquina Lavar Roupa,Eletrodomésticos,1099,"1709,1",2,"0,07",01/04/2019 17:48,03/04/2019 16:47
155,123456111,José Maria,Vendedor,CL001,Loja Matriz,10008,Cafeteira,Cozinha,"159,9","284,9",2,,28/10/2020 11:06,28/10/2020 17:45
156,123456111,José Maria,Vendedor,CL001,Loja Matriz,10013,Fogão,Eletrodomésticos,"210,9","404,1",2,,01/12/2019 15:25,03/12/2019 13:33
157,123456111,José Maria,Vendedor,CL001,Loja Matriz,10012,Processador de alimentos,Cozinha,110,"189,9",2,,07/01/2019 09:20,07/01/2019 09:38
158,123456111,José Maria,Vendedor,CL001,Loja Matriz,10002,Tablet,Eletrônicos,799,"1424,91",2,,10/10/2019 17:58,11/10/2019 11:53
159,123456111,José Maria,Vendedor,CL001,Loja Matriz,10009,Ferro de passar,Casa,"27,9","55,9",2,,19/08/2020 12:58,20/08/2020 12:34
160,123456111,José Maria,Vendedor,CL001,Loja Matriz,10008,Cafeteira,Cozinha,"159,9","284,9",2,,25/05/2020 12:45,26/05/2020 10:13
161,123456111,José Maria,Vendedor,CL001,Loja Matriz,10006,Aspirador de pó,Casa,"88,9","189,9",2,,29/08/2020 16:15,30/08/2020 11:36
162,123456111,José Maria,Vendedor,CL001,Loja Matriz,10017,Cama Box,Casa,"1189,9","1899,5",2,,06/11/2020 15:35,11/11/2020 15:13
163,123456111,José Maria,Vendedor,CL001,Loja Matriz,10018,Colchão,Casa,"109,9","249,9",2,,07/09/2019 16:57,08/09/2019 13:52
164,123456111,José Maria,Vendedor,CL001,Loja Matriz,10010,Fritadeira elétrica,Cozinha,"187,9",340,2,,26/12/2020 17:57,27/12/2020 16:40
165,123456111,José Maria,Vendedor,CL001,Loja Matriz,10020,Impressora,Eletrônicos,"329,9","674,1",2,,07/11/2019 17:59,08/11/2019 11:32
166,123456111,José Maria,Vendedor,CL001,Loja Matriz,10009,Ferro de passar,Casa,"27,9","55,9",2,,07/09/2020 13:42,08/09/2020 13:14
167,123456111,José Maria,Vendedor,CL001,Loja Matriz,10007,Batedeira,Cozinha,"49,9","95,9",2,,13/03/2019 10:41,13/03/2019 11:06
168,123456111,José Maria,Vendedor,CL001,Loja Matriz,10017,Cama Box,Casa,"1189,9","1899,5",2,,23/09/2020 15:12,29/09/2020 12:53
169,123456111,José Maria,Vendedor,CL001,Loja Matriz,10006,Aspirador de pó,Casa,"88,9","189,9",2,,30/08/2019 16:15,31/08/2019 11:18
170,123456111,José Maria,Vendedor,CL001,Loja Matriz,10005,Notebook,Eletrônicos,"2299,9",3199,2,,19/09/2019 09:39,19/09/2019 15:54
171,123456111,José Maria,Vendedor,CL001,Loja Matriz,10019,Sofá,Casa,"789,9",1399,2,,26/06/2019 16:31,28/06/2019 10:27
