,dt_venda,nome_funcionario,cargo,nome_loja,descricao_produto,categoria,preco_custo,valor_unitario,quantidade,dt_entrega,valor_final,mes,ano,meta,lucro,magem_lucro,pazo_entrega
39,2020-08-31 12:54:00,Felipe Marinho,Vendedor,Filial SP,Microondas,Eletrodomésticos,189.0,364.5,2,2020-09-01 09:20:00,729.0,8,2020,285000,351.0,0.48148148148148145,0 days 20:26:00
40,2019-02-10 13:00:00,Felipe Marinho,Vendedor,Filial SP,Liquidificador,Cozinha,59.9,142.4,2,2019-02-11 11:53:00,284.8,2,2019,285000,165.0,0.5793539325842696,0 days 22:53:00
41,2019-10-21 14:35:00,Felipe Marinho,Vendedor,Filial SP,Colchão,Casa,109.9,249.9,2,2019-10-22 10:36:00,499.8,10,2019,285000,280.0,0.5602240896358543,0 days 20:01:00
42,2020-12-25 16:30:00,Felipe Marinho,Vendedor,Filial SP,Máquina Lavar Roupa,Eletrodomésticos,1099.0,1709.1,2,2020-12-31 12:38:00,3418.2,12,2020,285000,1220.1999999999998,0.35697150547071554,5 days 20:08:00
43,2020-09-03 12:14:00,Felipe Marinho,Vendedor,Filial SP,Televisão,Eletrodomésticos,1400.9,2279.99,2,2020-09-05 13:05:00,4559.98,9,2020,285000,1758.1799999999994,0.38556748055912515,2 days 00:51:00
44,2019-11-15 10:45:00,Felipe Marinho,Vendedor,Filial SP,Fritadeira elétrica,Cozinha,187.9,340.0,2,2019-11-15 11:17:00,680.0,11,2019,285000,304.2,0.44735294117647056,0 days 00:32:00
45,2020-06-05 14:07:00,Felipe Marinho,Vendedor,Filial SP,Colchão,Casa,109.9,249.9,2,2020-06-06 11:08:00,499.8,6,2020,285000,280.0,0.5602240896358543,0 days 21:01:00
46,2019-05-31 16:16:00,Felipe Marinho,Vendedor,Filial SP,Guarda Roupa,Casa,489.9,999.0,2,2019-06-04 15:46:00,1998.0,5,2019,285000,1018.2,0.5096096096096097,3 days 23:30:00
47,2019-06-10 09:35:00,Felipe Marinho,Vendedor,Filial SP,Smartphone,Eletrônicos,899.9,1676.9,2,2019-06-10 10:50:00,3353.8,6,2019,285000,1554.0000000000002,0.4633550002981693,0 days 01:15:00
48,2020-12-02 17:46:00,Felipe Marinho,Vendedor,Filial SP,Liquidificador,Cozinha,59.9,142.4,2,2020-12-03 11:16:00,284.8,12,2020,285000,165.0,0.5793539325842696,0 days 17:30:00
49,2020-11-21 13:33:00,Felipe Marinho,Vendedor,Filial SP,Cafeteira,Cozinha,159.9,284.9,2,2020-11-22 09:59:00,569.8,11,2020,285000,249.99999999999994,0.4387504387504387,0 days 20:26:00
50,2019-09-26 14:32:00,Felipe Marinho,Vendedor,Filial SP,Televisão,Eletrodomésticos,1400.9,2279.99,2,2019-09-29 12:19:00,4559.98,9,2019,285000,1758.1799999999994,0.38556748055912515,2 days 21:47:00
51,2020-11-04 17:01:00,Felipe Marinho,Vendedor,Filial SP,Ferro de passar,Casa,27.9,55.9,2,2020-11-05 11:49:00,111.8,11,2020,285000,56.0,0.5008944543828265,0 days 18:48:00
52,2019-10-21 12:53:00,Felipe Marinho,Vendedor,Filial SP,Impressora,Eletrônicos,329.9,674.1,2,2019-10-21 14:21:00,1348.2,10,2019,285000,688.4000000000001,0.5106067349058003,0 days 01:28:00
53,2019-05-11 09:39:00,Felipe Marinho,Vendedor,Filial SP,Cafeteira,Cozinha,159.9,284.9,2,2019-05-11 17:35:00,569.8,5,2019,285000,249.99999999999994,0.4387504387504387,0 days 07:56:00
54,2019-03-07 17:55:00,Felipe Marinho,Vendedor,Filial SP,Colchão,Casa,109.9,249.9,2,2019-03-08 11:52:00,499.8,3,2019,285000,280.0,0.5602240896358543,0 days 17:57:00
55,2020-03-26 09:49:00,Felipe Marinho,Vendedor,Filial SP,Smartphone,Eletrônicos,899.9,1676.9,2,2020-03-26 10:41:00,3353.8,3,2020,285000,1554.0000000000002,0.4633550002981693,0 days 00:52:00
56,2019-03-23 16:42:00,Felipe Marinho,Vendedor,Filial SP,Fogão,Eletrodomésticos,210.9,404.1,2,2019-03-30 12:42:00,808.2,3,2019,285000,386.40000000000003,0.47809948032665184,6 days 20:00:00
57,2019-10-24 09:40:00,Felipe Marinho,Vendedor,Filial SP,Impressora,Eletrônicos,329.9,674.1,2,2019-10-24 12:56:00,1348.2,10,2019,285000,688.4000000000001,0.5106067349058003,0 days 03:16:00
58,2019-09-16 17:17:00,Felipe Marinho,Vendedor,Filial SP,Televisão,Eletrodomésticos,1400.9,2279.99,2,2019-09-20 13:23:00,4559.98,9,2019,285000,1758.1799999999994,0.38556748055912515,3 days 20:06:00
59,2019-03-29 10:37:00,Felipe Marinho,Vendedor,Filial SP,Fritadeira elétrica,Cozinha,187.9,340.0,2,2019-03-29 11:06:00,680.0,3,2019,285000,304.2,0.44735294117647056,0 days 00:29:00
60,2019-05-11 09:52:00,Felipe Marinho,Vendedor,Filial SP,Batedeira,Cozinha,49.9,95.9,2,2019-05-11 15:21:00,191.8,5,2019,285000,92.00000000000001,0.4796663190823775,0 days 05:29:00
61,2020-03-17 14:23:00,Felipe Marinho,Vendedor,Filial SP,Geladeira,Eletrodomésticos,699.9,1346.9,2,2020-03-23 14:37:00,2693.8,3,2020,285000,1294.0000000000002,0.4803623134605391,6 days 00:14:00
62,2020-03-04 09:11:00,Felipe Marinho,Vendedor,Filial SP,Fogão,Eletrodomésticos,210.9,404.1,3,2020-03-08 11:48:00,1212.3000000000002,3,2020,285000,579.6,0.47809948032665184,4 days 02:37:00
63,2020-12-18 10:37:00,Felipe Marinho,Vendedor,Filial SP,Sofá,Casa,789.9,1399.0,3,2020-12-24 14:54:00,4197.0,12,2020,285000,1827.3000000000002,0.43538241601143673,6 days 04:17:00
64,2019-05-29 09:49:00,Felipe Marinho,Vendedor,Filial SP,Colchão,Casa,109.9,249.9,3,2019-05-29 15:00:00,749.7,5,2019,285000,420.0,0.5602240896358543,0 days 05:11:00
65,2020-02-05 13:13:00,Felipe Marinho,Vendedor,Filial SP,Fritadeira elétrica,Cozinha,187.9,340.0,3,2020-02-06 09:03:00,1020.0,2,2020,285000,456.29999999999995,0.44735294117647056,0 days 19:50:00
66,2019-01-27 13:05:00,Felipe Marinho,Vendedor,Filial SP,Impressora,Eletrônicos,329.9,674.1,3,2019-01-28 11:03:00,2022.3,1,2019,285000,1032.6000000000001,0.5106067349058003,0 days 21:58:00
67,2019-03-08 12:51:00,Felipe Marinho,Vendedor,Filial SP,Smartphone,Eletrônicos,899.9,1676.9,3,2019-03-08 16:15:00,5030.700000000001,3,2019,285000,2331.0000000000005,0.4633550002981693,0 days 03:24:00
68,2019-09-03 12:17:00,Felipe Marinho,Vendedor,Filial SP,Microondas,Eletrodomésticos,189.0,364.5,3,2019-09-04 10:13:00,1093.5,9,2019,285000,526.5,0.48148148148148145,0 days 21:56:00
69,2019-02-24 17:29:00,Felipe Marinho,Vendedor,Filial SP,Microondas,Eletrodomésticos,189.0,364.5,3,2019-02-25 13:05:00,1093.5,2,2019,285000,526.5,0.48148148148148145,0 days 19:36:00
70,2020-04-26 16:36:00,Felipe Marinho,Vendedor,Filial SP,Impressora,Eletrônicos,329.9,674.1,3,2020-04-27 11:27:00,2022.3,4,2020,285000,1032.6000000000001,0.5106067349058003,0 days 18:51:00
71,2020-03-27 11:28:00,Felipe Marinho,Vendedor,Filial SP,Tablet,Eletrônicos,799.0,1424.91,3,2020-03-27 13:26:00,4274.7300000000005,3,2020,285000,1877.7300000000002,0.43926283063491733,0 days 01:58:00
72,2020-08-30 09:06:00,Felipe Marinho,Vendedor,Filial SP,Geladeira,Eletrodomésticos,699.9,1346.9,3,2020-09-02 15:04:00,4040.7,8,2020,285000,1941.0000000000005,0.4803623134605391,3 days 05:58:00
73,2019-02-01 13:21:00,Felipe Marinho,Vendedor,Filial SP,Cama Box,Casa,1189.9,1899.5,3,2019-02-04 17:02:00,5698.5,2,2019,285000,2128.7999999999997,0.3735719926296393,3 days 03:41:00
74,2019-04-23 14:08:00,Felipe Marinho,Vendedor,Filial SP,Guarda Roupa,Casa,489.9,999.0,3,2019-04-27 14:47:00,2997.0,4,2019,285000,1527.3000000000002,0.5096096096096097,4 days 00:39:00
75,2019-06-24 15:57:00,Felipe Marinho,Vendedor,Filial SP,Liquidificador,Cozinha,59.9,142.4,3,2019-06-24 16:19:00,427.2000000000001,6,2019,285000,247.5,0.5793539325842696,0 days 00:22:00
76,2020-09-03 15:30:00,Felipe Marinho,Vendedor,Filial SP,Batedeira,Cozinha,49.9,95.9,3,2020-09-04 10:50:00,287.70000000000005,9,2020,285000,138.00000000000003,0.4796663190823775,0 days 19:20:00
77,2020-10-14 17:41:00,Felipe Marinho,Vendedor,Filial SP,Aspirador de pó,Casa,88.9,189.9,3,2020-10-15 10:08:00,569.7,10,2020,285000,303.0,0.5318588730911006,0 days 16:27:00
78,2019-09-02 17:03:00,Felipe Marinho,Vendedor,Filial SP,Impressora,Eletrônicos,329.9,674.1,3,2019-09-03 14:38:00,2022.3,9,2019,285000,1032.6000000000001,0.5106067349058003,0 days 21:35:00
79,2020-04-07 13:32:00,Felipe Marinho,Vendedor,Filial SP,Colchão,Casa,109.9,249.9,3,2020-04-07 14:37:00,749.7,4,2020,285000,420.0,0.5602240896358543,0 days 01:05:00
80,2020-08-27 15:56:00,Felipe Marinho,Vendedor,Filial SP,Aspirador de pó,Casa,88.9,189.9,3,2020-08-28 12:34:00,569.7,8,2020,285000,303.0,0.5318588730911006,0 days 20:38:00
81,2019-11-05 13:49:00,Felipe Marinho,Vendedor,Filial SP,Impressora,Eletrônicos,329.9,674.1,3,2019-11-05 17:23:00,2022.3,11,2019,285000,1032.6000000000001,0.5106067349058003,0 days 03:34:00
82,2019-10-30 12:01:00,Felipe Marinho,Vendedor,Filial SP,Tablet,Eletrônicos,799.0,1424.91,3,2019-10-31 09:21:00,4274.7300000000005,10,2019,285000,1877.7300000000002,0.43926283063491733,0 days 21:20:00
83,2019-10-02 13:11:00,Felipe Marinho,Vendedor,Filial SP,Colchão,Casa,109.9,249.9,3,2019-10-02 15:15:00,749.7,10,2019,285000,420.0,0.5602240896358543,0 days 02:04:00
84,2019-07-20 16:04:00,Felipe Marinho,Vendedor,Filial SP,Ferro de passar,Casa,27.9,55.9,3,2019-07-21 11:57:00,167.7,7,2019,285000,84.0,0.5008944543828265,0 days 19:53:00
85,2020-01-27 11:53:00,Felipe Marinho,Vendedor,Filial SP,Aspirador de pó,Casa,88.9,189.9,3,2020-01-28 09:10:00,569.7,1,2020,285000,303.0,0.5318588730911006,0 days 21:17:00
86,2019-11-24 16:00:00,Felipe Marinho,Vendedor,Filial SP,Ferro de passar,Casa,27.9,55.9,3,2019-11-25 15:33:00,167.7,11,2019,285000,84.0,0.5008944543828265,0 days 23:33:00
87,2019-02-17 14:03:00,Felipe Marinho,Vendedor,Filial SP,Cama Box,Casa,1189.9,1899.5,3,2019-02-19 10:29:00,5698.5,2,2019,285000,2128.7999999999997,0.3735719926296393,1 days 20:26:00
88,2019-07-29 14:12:00,Felipe Marinho,Vendedor,Filial SP,Geladeira,Eletrodomésticos,699.9,1346.9,3,2019-08-03 15:23:00,4040.7,7,2019,285000,1941.0000000000005,0.4803623134605391,5 days 01:11:00
89,2019-02-09 11:15:00,Felipe Marinho,Vendedor,Filial SP,Smartphone,Eletrônicos,899.9,1676.9,3,2019-02-09 16:19:00,5030.700000000001,2,2019,285000,2331.0000000000005,0.4633550002981693,0 days 05:04:00
90,2019-05-21 15:24:00,Felipe Marinho,Vendedor,Filial SP,Fritadeira elétrica,Cozinha,187.9,340.0,3,2019-05-22 13:50:00,1020.0,5,2019,285000,456.29999999999995,0.44735294117647056,0 days 22:26:00
91,2019-09-30 10:41:00,Felipe Marinho,Vendedor,Filial SP,Geladeira,Eletrodomésticos,699.9,1346.9,3,2019-10-03 17:10:00,4040.7,9,2019,285000,1941.0000000000005,0.4803623134605391,3 days 06:29:00
92,2019-01-07 16:57:00,Felipe Marinho,Vendedor,Filial SP,Geladeira,Eletrodomésticos,699.9,1346.9,3,2019-01-14 12:28:00,4040.7,1,2019,285000,1941.0000000000005,0.4803623134605391,6 days 19:31:00
93,2020-01-02 14:33:00,Felipe Marinho,Vendedor,Filial SP,Microondas,Eletrodomésticos,189.0,364.5,3,2020-01-03 10:20:00,1093.5,1,2020,285000,526.5,0.48148148148148145,0 days 19:47:00
94,2019-09-21 15:58:00,Felipe Marinho,Vendedor,Filial SP,Fritadeira elétrica,Cozinha,187.9,340.0,3,2019-09-22 13:34:00,1020.0,9,2019,285000,456.29999999999995,0.44735294117647056,0 days 21:36:00
95,2020-04-17 12:28:00,Felipe Marinho,Vendedor,Filial SP,Televisão,Eletrodomésticos,1400.9,2279.99,3,2020-04-23 13:59:00,6839.969999999999,4,2020,285000,2637.269999999999,0.38556748055912515,6 days 01:31:00
96,2020-10-02 13:56:00,Felipe Marinho,Vendedor,Filial SP,Guarda Roupa,Casa,489.9,999.0,2,2020-10-05 16:33:00,1998.0,10,2020,285000,1018.2,0.5096096096096097,3 days 02:37:00
97,2020-04-19 10:22:00,Felipe Marinho,Vendedor,Filial SP,Smartphone,Eletrônicos,899.9,1676.9,3,2020-04-19 17:16:00,5030.700000000001,4,2020,285000,2331.0000000000005,0.4633550002981693,0 days 06:54:00
98,2019-02-27 15:17:00,Felipe Marinho,Vendedor,Filial SP,Cafeteira,Cozinha,159.9,284.9,3,2019-02-27 17:17:00,854.6999999999999,2,2019,285000,374.9999999999999,0.4387504387504387,0 days 02:00:00
99,2020-08-13 09:15:00,Felipe Marinho,Vendedor,Filial SP,Liquidificador,Cozinha,59.9,142.4,3,2020-08-13 15:05:00,427.2000000000001,8,2020,285000,247.5,0.5793539325842696,0 days 05:50:00
100,2020-10-28 13:41:00,Felipe Marinho,Vendedor,Filial SP,Microondas,Eletrodomésticos,189.0,364.5,3,2020-10-29 09:30:00,1093.5,10,2020,285000,526.5,0.48148148148148145,0 days 19:49:00
101,2020-11-10 15:19:00,Felipe Marinho,Vendedor,Filial SP,Fogão,Eletrodomésticos,210.9,404.1,3,2020-11-14 14:02:00,1212.3000000000002,11,2020,285000,579.6,0.47809948032665184,3 days 22:43:00
102,2020-09-27 10:59:00,Felipe Marinho,Vendedor,Filial SP,Cafeteira,Cozinha,159.9,284.9,3,2020-09-27 15:26:00,854.6999999999999,9,2020,285000,374.9999999999999,0.4387504387504387,0 days 04:27:00
103,2019-03-27 14:04:00,Felipe Marinho,Vendedor,Filial SP,Microondas,Eletrodomésticos,189.0,364.5,3,2019-03-28 11:33:00,1093.5,3,2019,285000,526.5,0.48148148148148145,0 days 21:29:00
104,2020-02-09 10:36:00,Felipe Marinho,Vendedor,Filial SP,Aspirador de pó,Casa,88.9,189.9,3,2020-02-10 10:27:00,569.7,2,2020,285000,303.0,0.5318588730911006,0 days 23:51:00
105,2019-09-09 11:08:00,Felipe Marinho,Vendedor,Filial SP,Guarda Roupa,Casa,489.9,999.0,3,2019-09-16 11:31:00,2997.0,9,2019,285000,1527.3000000000002,0.5096096096096097,7 days 00:23:00
106,2019-07-16 16:57:00,Felipe Marinho,Vendedor,Filial SP,Batedeira,Cozinha,49.9,95.9,3,2019-07-17 14:55:00,287.70000000000005,7,2019,285000,138.00000000000003,0.4796663190823775,0 days 21:58:00
107,2019-03-05 14:10:00,Felipe Marinho,Vendedor,Filial SP,Televisão,Eletrodomésticos,1400.9,2279.99,3,2019-03-08 16:39:00,6839.969999999999,3,2019,285000,2637.269999999999,0.38556748055912515,3 days 02:29:00
108,2019-06-13 14:27:00,Felipe Marinho,Vendedor,Filial SP,Geladeira,Eletrodomésticos,699.9,1346.9,3,2019-06-16 16:38:00,4040.7,6,2019,285000,1941.0000000000005,0.4803623134605391,3 days 02:11:00
109,2019-01-21 17:42:00,Felipe Marinho,Vendedor,Filial SP,Notebook,Eletrônicos,2299.9,3199.0,3,2019-01-22 13:50:00,9597.0,1,2019,285000,2697.2999999999997,0.28105658018130664,0 days 20:08:00
110,2020-08-21 11:43:00,Felipe Marinho,Vendedor,Filial SP,Cafeteira,Cozinha,159.9,284.9,3,2020-08-22 10:35:00,854.6999999999999,8,2020,285000,374.9999999999999,0.4387504387504387,0 days 22:52:00
111,2020-08-05 16:16:00,Felipe Marinho,Vendedor,Filial SP,Processador de alimentos,Cozinha,110.0,189.9,3,2020-08-06 10:34:00,569.7,8,2020,285000,239.70000000000002,0.4207477619799895,0 days 18:18:00
112,2019-03-12 16:50:00,Felipe Marinho,Vendedor,Filial SP,Sofá,Casa,789.9,1399.0,3,2019-03-14 12:58:00,4197.0,3,2019,285000,1827.3000000000002,0.43538241601143673,1 days 20:08:00
113,2019-05-19 15:04:00,Felipe Marinho,Vendedor,Filial SP,Impressora,Eletrônicos,329.9,674.1,3,2019-05-20 11:26:00,2022.3,5,2019,285000,1032.6000000000001,0.5106067349058003,0 days 20:22:00
114,2019-05-06 10:09:00,Felipe Marinho,Vendedor,Filial SP,Televisão,Eletrodomésticos,1400.9,2279.99,3,2019-05-11 14:41:00,6839.969999999999,5,2019,285000,2637.269999999999,0.38556748055912515,5 days 04:32:00
115,2020-11-30 09:22:00,Felipe Marinho,Vendedor,Filial SP,Cafeteira,Cozinha,159.9,284.9,3,2020-11-30 12:42:00,854.6999999999999,11,2020,285000,374.9999999999999,0.4387504387504387,0 days 03:20:00
116,2020-07-18 11:57:00,Felipe Marinho,Vendedor,Filial SP,Smartphone,Eletrônicos,899.9,1676.9,3,2020-07-18 15:21:00,5030.700000000001,7,2020,285000,2331.0000000000005,0.4633550002981693,0 days 03:24:00
117,2020-08-30 10:34:00,Felipe Marinho,Vendedor,Filial SP,Guarda Roupa,Casa,489.9,999.0,3,2020-09-02 09:04:00,2997.0,8,2020,285000,1527.3000000000002,0.5096096096096097,2 days 22:30:00
118,2019-12-13 17:31:00,Felipe Marinho,Vendedor,Filial SP,Liquidificador,Cozinha,59.9,142.4,3,2019-12-14 16:45:00,427.2000000000001,12,2019,285000,247.5,0.5793539325842696,0 days 23:14:00
119,2019-07-27 15:38:00,Felipe Marinho,Vendedor,Filial SP,Liquidificador,Cozinha,59.9,142.4,3,2019-07-28 10:28:00,427.2000000000001,7,2019,285000,247.5,0.5793539325842696,0 days 18:50:00
120,2020-11-03 09:24:00,Felipe Marinho,Vendedor,Filial SP,Aspirador de pó,Casa,88.9,189.9,3,2020-11-03 09:49:00,569.7,11,2020,285000,303.0,0.5318588730911006,0 days 00:25:00
121,2020-03-11 12:52:00,Felipe Marinho,Vendedor,Filial SP,Microondas,Eletrodomésticos,189.0,364.5,3,2020-03-12 10:43:00,1093.5,3,2020,285000,526.5,0.48148148148148145,0 days 21:51:00
